fileName,Label,S1@(ms),S2@(ms),systole,diastole,S1(ABV),syst_mur(0/1),smur_begin,syst_dur,syst_amp,syst_freq,S2(ABV),diast_mur(0/1),dmur_begin,diast_dur,diast_amp,diast_freq,syst_s1_amp_ratio,diast_s1_amp_ratio,syst_mur(0/1).v2,diast_mur(0/1).v2,sum_diff_syst,sum_diff_diast,Npeaks systole,Npeaks diastole,var_pks_systole,var_pks_diastole,L_pks_syst,M_pks_syst,H_pks_syst,L_pks_diast,M_pks_diast,H_pks_diast
healthy3_s16.wav,0,220,540,320,530,0.357499637,0,0,0,0,0,0.489254645,0,0,0,0,0,0,0,0,0,0.132781982,0.297393799,999,1967,3.96591E-07,3.17891E-07,999,0,0,1965,2,0
healthy3_s17.wav,0,250,580,330,620,0.377213907,0,0,0,0,0,0.497490494,0,0,0,0,0,0,0,0,0,0.151641846,0.338684082,1063,2127,3.08118E-07,3.49301E-07,1063,0,0,2125,2,0
healthy3_s18.wav,0,230,550,320,540,0.422266579,0,0,0,0,0,0.411925852,0,0,0,0,0,0,0,0,0,0.147338867,0.30480957,1048,1826,3.41305E-07,3.66863E-07,1048,0,0,1825,1,0
healthy3_s19.wav,0,240,560,320,550,0.383108706,0,0,0,0,0,0.476292093,0,0,0,0,0,0,0,0,0,0.098327637,0.345031738,963,1938,3.30037E-07,3.39464E-07,963,0,0,1938,0,0
healthy3_s20.wav,0,240,570,330,530,0.411735264,0,0,0,0,0,0.464873276,0,0,0,0,0,0,0,0,0,0.156341553,0.328674316,989,1938,3.85178E-07,3.42395E-07,989,0,0,1935,3,0
healthy3_s21.wav,0,180,510,330,530,0.43946472,0,0,0,0,0,0.402516329,0,0,0,0,0,0,0,0,0,0.186706543,0.350158691,1045,1833,3.40209E-07,3.73026E-07,1045,0,0,1831,2,0
healthy3_s22.wav,0,300,640,340,530,0.376071824,0,0,0,0,0,0.492332163,0,0,0,0,0,0,0,0,0,0.115264893,0.34954834,1029,1785,2.88481E-07,3.87143E-07,1029,0,0,1783,2,0
healthy3_s23.wav,0,260,590,330,530,0.408382549,0,0,0,0,0,0.486988423,0,0,0,0,0,0,0,0,0,0.123687744,0.395751953,999,1977,3.96591E-07,3.52732E-07,999,0,0,1974,3,0
healthy1_s01.wav,0,330,620,290,500,0.462612308,0,0,0,0,0,0.128775619,1,680,20,0.017724729,29.85585149,0,0.038314436,0,0,0.350036621,0.894836426,2598,4640,3.07949E-08,4.76362E-08,2598,0,0,4614,19,7
healthy1_s02.wav,0,250,550,300,500,0.555754325,0,0,0,0,0,0.125526675,1,610,20,0.018950903,16.68789404,0,0.034099426,0,0,0.377044678,0.883148193,2778,4684,2.33719E-08,5.42288E-08,2778,0,0,4659,19,6
healthy1_s03.wav,0,230,550,320,500,0.458313948,0,0,0,0,0,0.142447757,0,0,0,0,0,0,0,0,0,0.385009766,0.751922607,2727,4656,1.9932E-08,3.41088E-08,2727,0,0,4631,25,0
healthy1_s04.wav,0,220,510,290,500,0.487383913,0,0,0,0,0,0.126732687,1,570,20,0.01791914,31.22715276,0,0.036765965,0,0,0.368041992,0.902557373,2664,4701,2.30659E-08,3.66735E-08,2658,6,0,4671,26,4
healthy1_s05.wav,0,230,530,300,500,0.558709362,0,0,0,0,0,0.122565499,1,590,20,0.019113682,16.78520426,0,0.03421042,0,0,0.379669189,0.889038086,2746,4695,2.67874E-08,5.63402E-08,2739,7,0,4672,15,8
healthy1_s06.wav,0,220,530,310,500,0.445115278,0,0,0,0,0,0.141775868,0,0,0,0,0,0,0,0,0,0.383117676,0.749053955,2723,4627,2.3314E-08,3.48714E-08,2723,0,0,4604,20,3
healthy1_s07.wav,0,260,550,290,500,0.490283861,0,0,0,0,0,0.119583591,1,610,20,0.018159771,24.72293005,0,0.0370393,0,0,0.378875732,0.903442383,2748,4674,2.56088E-08,6.39967E-08,2748,0,0,4648,20,6
healthy1_s08.wav,0,230,530,300,500,0.541389138,0,0,0,0,0,0.129738275,1,590,20,0.018482333,16.28594251,0,0.034138721,0,0,0.374237061,0.880584717,2769,4724,2.43908E-08,4.80951E-08,2769,0,0,4683,32,9
healthy1_s09.wav,0,220,530,310,500,0.466973564,0,0,0,0,0,0.137629464,0,0,0,0,0,0,0,0,0,0.381652832,0.752868652,2741,4665,1.48293E-08,3.45912E-08,2741,0,0,4632,28,5
healthy1_s10.wav,0,260,580,320,490,0.503234681,0,0,0,0,0,0.125629719,0,0,0,0,0,0,0,0,0,0.37677002,0.741119385,2713,4720,2.07069E-08,3.578E-08,2713,0,0,4690,26,4
healthy_v1T3_s01.wav,0,190,500,310,520,0.220057797,1,260,60,0.021520952,127.3295109,0.351097514,1,850,30,0.025886972,104.6432557,0.097796819,0.117637151,1,1,2.850463867,4.962982178,28,61,1.3002E-05,8.64218E-06,11,9,8,22,31,8
healthy_v1T3_s02.wav,0,240,550,310,500,0.216123861,0,0,0,0,0,0.320731812,1,830,20,0.035160647,82.9546377,0,0.162687482,0,1,2.535614014,5.816833496,34,62,6.73111E-06,6.02738E-06,16,14,4,23,29,10
healthy_v1T3_s03.wav,0,260,580,320,510,0.359624634,1,320,20,0.042286292,89.253742,0.365511407,0,0,0,0,0,0.117584526,0,1,0,3.394836426,5.497253418,32,61,6.6546E-06,6.44143E-06,18,11,3,22,32,7
healthy_v1T3_s04.wav,0,280,590,310,500,0.332428996,1,340,30,0.061318995,105.0044407,0.375773248,1,860,20,0.028248489,91.9206492,0.184457421,0.084976007,1,0,3.935760498,6.346252441,29,57,7.50279E-06,5.47099E-06,7,14,8,17,34,6
healthy_v1T3_s05.wav,0,280,600,320,490,0.370359039,1,480,50,0.030773606,95.81247603,0.366506755,1,860,20,0.032990887,119.5016122,0.08309128,0.089078119,0,0,3.913909912,6.665100098,32,58,9.34588E-06,7.50273E-06,7,18,7,22,25,11
normal-v1T10-s01.wav,0,420,780,360,630,0.269491035,0,0,0,0,0,0.340703396,1,840,20,0.057541933,109.611732,0,0.213520771,0,1,1.002685547,2.404327393,86,175,7.05447E-06,4.35186E-06,81,5,0,170,4,1
normal-v1T10-s02.wav,0,300,660,360,620,0.306555023,0,0,0,0,0,0.395577426,1,720,20,0.102749442,143.2070286,0,0.335174549,0,1,0.947753906,3.446899414,83,192,4.9815E-06,2.79E-06,81,2,0,190,1,1
normal-v1T10-s03.wav,0,260,620,360,630,0.307531806,0,0,0,0,0,0.405211639,1,680,40,0.141295892,123.2553268,0,0.459451312,0,1,1.098632813,6.236236572,78,170,6.59922E-06,4.96031E-06,76,2,0,162,4,4
normal-v1T10-s04.wav,0,220,590,370,620,0.325775248,0,0,0,0,0,0.376020508,1,650,20,0.14828693,131.2991914,0,0.455181695,0,1,1.094696045,5.13104248,83,165,6.56576E-06,3.66926E-06,78,5,0,160,2,3
normal-v1T10-s05.wav,0,210,560,350,630,0.299768575,0,0,0,0,0,0.405233358,0,0,0,0,0,0,0,0,0,0.942382813,2.36428833,107,161,3.18574E-06,4.21799E-06,105,2,0,156,4,1
normal-v1T10-s06.wav,0,170,530,360,630,0.296092224,0,0,0,0,0,0.379455736,1,590,20,0.067055975,128.5961689,0,0.226469895,0,1,0.968017578,2.921386719,89,173,6.11063E-06,4.56001E-06,86,3,0,168,4,1
normal-v1T10-s07.wav,0,110,470,360,640,0.300474141,0,0,0,0,0,0.384611426,1,530,30,0.15954177,122.4295519,0,0.530966723,0,1,0.993591309,6.009613037,82,163,7.13602E-06,3.47653E-06,80,2,0,157,3,3
normal-v1T401-s01.wav,0,310,660,350,480,0.04450943,0,0,0,0,0,0.026656087,0,0,0,0,0,0,0,0,0,0.104003906,0.098876953,369,592,3.96596E-07,1.72144E-07,361,7,1,588,4,0
normal-v1T401-s02.wav,0,260,610,350,480,0.044866604,0,0,0,0,0,0.037144979,0,0,0,0,0,0,0,0,0,0.082122803,0.114074707,402,590,2.38031E-07,2.67502E-07,397,5,0,586,4,0
normal-v1T401-s03.wav,0,320,660,340,490,0.041811727,0,0,0,0,0,0.03130344,0,0,0,0,0,0,0,0,0,0.076446533,0.127105713,392,579,2.01912E-07,2.39945E-07,387,5,0,577,2,0
normal-v1T401-s04.wav,0,180,530,350,480,0.047499084,0,0,0,0,0,0.030169017,0,0,0,0,0,0,0,0,0,0.102203369,0.116546631,393,575,3.39831E-07,2.93337E-07,384,8,1,573,2,0
normal-v1T402-s01.wav,0,200,510,310,500,0.025890096,1,420,30,0.016946564,90.01244019,0.147038778,0,0,0,0,0,0.654557778,0,1,0,0.385894775,0.144866943,186,570,2.08901E-06,3.48227E-07,176,6,4,570,0,0
normal-v1T402-s02.wav,0,390,700,310,500,0.040926361,1,610,30,0.024508913,98.53938719,0.228632677,0,0,0,0,0,0.598853946,0,1,0,0.599090576,0.204345703,183,574,1.97433E-06,5.10941E-07,168,11,4,573,1,0
normal-v1T402-s04.wav,0,380,710,330,540,0.060930888,1,640,10,0.01639523,90.91048699,0.141669057,0,0,0,0,0,0.269079121,0,1,0,0.297821045,0.224822998,214,605,1.30598E-06,4.24046E-07,206,6,2,601,4,0
normal-v1T402-s05.wav,0,340,670,330,490,0.057888404,1,400,20,0.009092142,97.55193347,0.215130446,0,0,0,0,0,0.157063263,0,1,0,0.788726807,0.293548584,194,571,2.80627E-06,5.71168E-07,180,7,7,569,2,0
normal-v1T403-s01.wav,0,250,570,320,460,0.291135186,1,310,50,0.015576421,91.85876452,0.061870287,0,0,0,0,0,0.053502363,0,0,0,0.608703613,0.125061035,183,508,2.96349E-06,2.82564E-07,179,3,1,508,0,0
normal-v1T403-s02.wav,0,310,640,330,460,0.298185306,1,370,60,0.027575231,74.69862353,0.047247111,0,0,0,0,0,0.092476826,0,1,0,0.910217285,0.128936768,171,456,3.01399E-06,4.1594E-07,166,4,1,454,2,0
normal-v1T403-s03.wav,0,280,610,330,450,0.346720378,1,340,50,0.015585245,102.3447606,0.062410787,0,0,0,0,0,0.044950474,0,0,0,0.685638428,0.131530762,168,472,3.19031E-06,3.75181E-07,163,4,1,472,0,0
normal-v1T403-s04.wav,0,320,650,330,460,0.252733426,1,380,60,0.028900677,76.80222849,0.057812602,0,0,0,0,0,0.114352412,0,1,0,0.917053223,0.12588501,171,488,3.00588E-06,3.34789E-07,166,4,1,488,0,0
