fileName,Label,S1@(ms),S2@(ms),systole,diastole,S1(ABV),syst_mur(0/1),smur_begin,syst_dur,syst_amp,syst_freq,S2(ABV),diast_mur(0/1),dmur_begin,diast_dur,diast_amp,diast_freq
lateSyst_s13.wav,1,280,620,340,600,0.274123911,0,0,0,0,0,0.229937033,0,0,0,0,0
lateSyst_s14.wav,1,320,670,350,650,0.292437585,0,0,0,0,0,0.203285922,0,0,0,0,0
lateSyst_s15.wav,1,300,660,360,590,0.28846128,0,0,0,0,0,0.227487457,0,0,0,0,0
lateSyst_s16.wav,1,310,670,360,590,0.254355893,0,0,0,0,0,0.240415705,0,0,0,0,0
lateSyst_s18.wav,1,290,630,340,600,0.285298442,0,0,0,0,0,0.241722336,0,0,0,0,0
lateSyst_s19.wav,1,300,640,340,630,0.26907222,0,0,0,0,0,0.23929513,0,0,0,0,0
lateSyst_s20.wav,1,250,610,360,590,0.267956259,0,0,0,0,0,0.279222011,0,0,0,0,0
lateSyst_s21.wav,1,310,660,350,600,0.270931809,0,0,0,0,0,0.230718809,0,0,0,0,0
healthy2_s01.wav,0,270,540,270,440,0.167514015,0,0,0,0,0,0.153212874,0,0,0,0,0
healthy2_s02.wav,0,200,480,280,430,0.216674302,0,0,0,0,0,0.16943169,0,0,0,0,0
healthy2_s03.wav,0,190,460,270,430,0.215164452,0,0,0,0,0,0.159882853,0,0,0,0,0
healthy2_s04.wav,0,170,450,280,440,0.235617283,0,0,0,0,0,0.224065412,0,0,0,0,0
healthy2_s05.wav,0,150,430,280,440,0.184677181,0,0,0,0,0,0.183203927,0,0,0,0,0
healthy2_s06.wav,0,170,470,300,430,0.169590069,0,0,0,0,0,0.1316977,0,0,0,0,0
healthy2_s07.wav,0,220,480,260,430,0.179726974,0,0,0,0,0,0.187746548,0,0,0,0,0
healthy2_s08.wav,0,220,480,260,430,0.195237664,0,0,0,0,0,0.17004222,0,0,0,0,0
healthy2_s09.wav,0,240,510,270,420,0.206144056,0,0,0,0,0,0.219116734,0,0,0,0,0
healthy2_s10.wav,0,210,470,260,440,0.183733079,0,0,0,0,0,0.196856637,0,0,0,0,0
healthy2_s11.wav,0,190,460,270,440,0.275514911,0,0,0,0,0,0.186539723,1,830,10,0.051408209,76.59587598
healthy2_s12.wav,0,250,530,280,440,0.24201506,0,0,0,0,0,0.187318075,0,0,0,0,0
healthy2_s13.wav,0,190,450,260,440,0.274767398,0,0,0,0,0,0.172624683,0,0,0,0,0
healthy2_s14.wav,0,180,460,280,440,0.277295326,0,0,0,0,0,0.210128723,0,0,0,0,0
healthy2_s15.wav,0,190,450,260,440,0.214840464,0,0,0,0,0,0.197125264,0,0,0,0,0
healthy2_s16.wav,0,200,480,280,440,0.225143785,0,0,0,0,0,0.196280055,1,850,10,0.057437319,104.1763405
healthy2_s17.wav,0,180,460,280,430,0.193379587,0,0,0,0,0,0.181730494,0,0,0,0,0
healthy2_s18.wav,0,160,440,280,430,0.170901065,0,0,0,0,0,0.190443306,0,0,0,0,0
healthy2_s19.wav,0,210,480,270,420,0.16524647,0,0,0,0,0,0.210314243,0,0,0,0,0
healthy2_s20.wav,0,180,480,300,430,0.166421126,1,240,20,0.069695013,59.02884292,0.076473609,0,0,0,0,0
healthy2_s21.wav,0,200,460,260,430,0.241556926,0,0,0,0,0,0.177258357,0,0,0,0,0
healthy2_s22.wav,0,210,490,280,410,0.189342426,0,0,0,0,0,0.194081272,0,0,0,0,0
healthy2_s23.wav,0,220,480,260,440,0.216445909,0,0,0,0,0,0.219636555,0,0,0,0,0
healthy2_s24.wav,0,220,490,270,440,0.230803561,0,0,0,0,0,0.178426561,1,860,10,0.09363255,64.11054008
healthy2_s25.wav,0,230,500,270,440,0.291649393,0,0,0,0,0,0.179263261,0,0,0,0,0
healthy2_s26.wav,0,200,480,280,440,0.205559643,0,0,0,0,0,0.210940981,0,0,0,0,0
healthy2_s27.wav,0,170,450,280,420,0.24909321,0,0,0,0,0,0.185373873,0,0,0,0,0
healthy2_s28.wav,0,220,500,280,440,0.202892337,0,0,0,0,0,0.200889643,0,0,0,0,0
healthy2_s29.wav,0,210,490,280,430,0.186733753,0,0,0,0,0,0.194841333,0,0,0,0,0
healthy2_s30.wav,0,190,490,300,420,0.161735538,0,0,0,0,0,0.180975396,0,0,0,0,0
healthy2_s31.wav,0,160,460,300,430,0.173752985,1,220,20,0.044018869,49.61645653,0.113382725,0,0,0,0,0
healthy2_s32.wav,0,240,500,260,430,0.224202427,0,0,0,0,0,0.18652871,0,0,0,0,0
healthy2_s33.wav,0,220,500,280,410,0.222703682,0,0,0,0,0,0.167589279,0,0,0,0,0
healthy2_s34_JUST2.wav,0,240,510,270,440,0.231189346,0,0,0,0,0,0.220522695,0,0,0,0,0
lateSyt&Click_s01.wav,1,450,770,320,520,0.48242464,0,0,0,0,0,0.333530594,0,0,0,0,0
lateSyt&Click_s02.wav,1,290,600,310,530,0.430712586,0,0,0,0,0,0.364570724,0,0,0,0,0
lateSyt&Click_s03.wav,1,250,580,330,530,0.430151433,1,370,20,0.042009312,160.7570984,0.368857354,0,0,0,0,0
lateSyt&Click_s04.wav,1,280,580,300,540,0.380714912,0,0,0,0,0,0.35918019,0,0,0,0,0
lateSyt&Click_s05.wav,1,280,600,320,540,0.444833956,0,0,0,0,0,0.385735895,0,0,0,0,0
lateSyt&Click_s06.wav,1,290,610,320,520,0.487555644,1,400,20,0.043029895,169.4265765,0.315470725,0,0,0,0,0
lateSyt&Click_s07.wav,1,250,560,310,530,0.399087907,0,0,0,0,0,0.390912042,0,0,0,0,0
lateSyt&Click_s09.wav,1,280,580,300,540,0.385485978,1,380,20,0.036869487,213.3253125,0.350726129,0,0,0,0,0
lateSyt&Click_s10.wav,1,300,620,320,540,0.464145672,0,0,0,0,0,0.368435837,0,0,0,0,0
lateSyt&Click_s11.wav,1,280,590,310,530,0.476866943,1,390,20,0.060691406,177.0898646,0.321921817,0,0,0,0,0
lateSyt&Click_s12.wav,1,230,560,330,530,0.376894179,1,360,20,0.03165756,184.1663105,0.400676741,0,0,0,0,0
lateSyt&Click_s13.wav,1,280,600,320,520,0.425557855,1,390,20,0.041878686,156.5254779,0.365036841,0,0,0,0,0
lateSyt&Click_s14.wav,1,240,540,300,540,0.410254473,1,340,20,0.078023322,165.8850323,0.320805473,0,0,0,0,0
lateSyt&Click_s15.wav,1,240,560,320,540,0.473569828,0,0,0,0,0,0.315069261,0,0,0,0,0
lateSyt&Click_s16.wav,1,300,610,310,540,0.416954435,0,0,0,0,0,0.37296304,0,0,0,0,0
lateSyt&Click_s17.wav,1,210,530,320,540,0.424126913,1,320,20,0.06047815,188.3146578,0.3997457,0,0,0,0,0
lateSyt&Click_s18.wav,1,250,570,320,520,0.463340427,0,0,0,0,0,0.310745128,0,0,0,0,0
lateSyt&Click_s19.wav,1,260,590,330,530,0.42033782,1,380,20,0.076775769,168.5278869,0.366699087,0,0,0,0,0
lateSyt&Click_s20.wav,1,300,630,330,520,0.429126919,0,0,0,0,0,0.334309707,0,0,0,0,0
lateSyt&Click_s21.wav,1,270,590,320,540,0.392953175,0,0,0,0,0,0.372049475,0,0,0,0,0
lateSyt&Click_s22.wav,1,250,570,320,540,0.478282799,0,0,0,0,0,0.330658065,0,0,0,0,0
lateSyt&Click_s23.wav,1,290,600,310,530,0.42894346,0,0,0,0,0,0.383367432,0,0,0,0,0
lateSyt&Click_s24.wav,1,240,560,320,540,0.409590124,1,350,20,0.063461697,184.0760078,0.40017297,0,0,0,0,0
midSystClick_s01.wav,1,480,810,330,530,0.409563561,1,600,20,0.054591754,175.0136219,0.403031713,0,0,0,0,0
midSystClick_s02.wav,1,270,590,320,520,0.399839927,0,0,0,0,0,0.33067039,0,0,0,0,0
midSystClick_s03.wav,1,260,580,320,540,0.399956439,1,380,20,0.049143369,178.2263191,0.37615131,0,0,0,0,0
midSystClick_s04.wav,1,300,620,320,540,0.477785833,1,420,20,0.063868695,143.8138789,0.354575093,0,0,0,0,0
midSystClick_s05.wav,1,230,540,310,530,0.462758163,0,0,0,0,0,0.35085797,0,0,0,0,0
midSystClick_s06.wav,1,220,550,330,530,0.416252589,1,340,20,0.050135391,154.9676577,0.399426256,0,0,0,0,0
midSystClick_s07.wav,1,250,580,330,520,0.39153351,1,360,20,0.042568676,175.9018427,0.329294831,0,0,0,0,0
midSystClick_s08.wav,1,290,610,320,540,0.395432243,1,410,20,0.049502676,185.9626614,0.383959451,0,0,0,0,0
midSystClick_s09.wav,1,270,590,320,540,0.461218432,1,380,20,0.041058622,152.7361029,0.362157228,0,0,0,0,0
midSystClick_s10.wav,1,230,540,310,530,0.46105623,0,0,0,0,0,0.332144577,0,0,0,0,0
midSystClick_s11.wav,1,230,560,330,530,0.43566985,0,0,0,0,0,0.383884199,0,0,0,0,0
midSystClick_s12.wav,1,310,640,330,530,0.406983685,0,0,0,0,0,0.334895126,0,0,0,0,0
midSystClick_s13.wav,1,250,570,320,540,0.382613063,1,370,20,0.042802426,173.5415989,0.391502283,0,0,0,0,0
midSystClick_s14.wav,1,240,560,320,540,0.477405483,1,350,20,0.042275384,171.1477408,0.361719973,0,0,0,0,0
midSystClick_s15.wav,1,320,630,310,530,0.463182073,1,420,20,0.04330403,170.4118363,0.34728443,0,0,0,0,0
midSystClick_s16.wav,1,220,550,330,530,0.406585638,1,340,30,0.05426619,134.7227715,0.409001936,0,0,0,0,0
midSystClick_s17.wav,1,280,600,320,520,0.419978207,0,0,0,0,0,0.336447152,0,0,0,0,0
midSystClick_s18.wav,1,300,620,320,540,0.429509787,1,420,20,0.036843817,158.5578318,0.350955857,0,0,0,0,0
midSystClick_s19.wav,1,290,610,320,540,0.481691029,0,0,0,0,0,0.334361437,0,0,0,0,0
midSystClick_s20.wav,1,290,600,310,530,0.43587651,0,0,0,0,0,0.378262882,0,0,0,0,0
midSystClick_s21.wav,1,320,640,320,540,0.409482752,1,430,20,0.039192359,182.137912,0.40370148,0,0,0,0,0
midSystClick_s22.wav,1,280,600,320,520,0.455804039,0,0,0,0,0,0.306744478,0,0,0,0,0
midSystClick_s24_JUST2.wav,1,280,610,330,530,0.442508236,1,400,20,0.031918815,115.5236537,0.311663252,0,0,0,0,0
holoSyst&S3_s03.wav,1,170,450,280,470,0.144951405,1,230,180,0.027509647,382.8239783,0.507358997,1,540,90,0.108644098,67.22791655
holoSyst&S3_s04.wav,1,150,430,280,470,0.143876584,1,210,190,0.028543825,365.0153639,0.484718394,1,520,80,0.1176931,79.89242908
holoSyst&S3_s05.wav,1,150,430,280,470,0.150076074,1,210,190,0.026638569,366.6982173,0.443908744,1,520,90,0.108890082,78.21936002
holoSyst&S3_s06.wav,1,200,490,290,460,0.135597353,1,260,190,0.027467985,362.3332164,0.459528318,1,570,90,0.110734559,72.15282935
holoSyst&S3_s07.wav,1,170,460,290,460,0.135963331,1,230,190,0.027989419,357.228149,0.484453238,1,550,80,0.116977448,73.10201293
holoSyst&S3_s08.wav,1,170,450,280,470,0.116693036,1,230,180,0.028256815,362.1242933,0.525472034,1,540,90,0.11038214,64.84860372
holoSyst&S3_s09.wav,1,210,490,280,470,0.13297001,1,270,180,0.029030424,353.9966653,0.536601365,1,580,80,0.1170849,76.54028582
holoSyst&S3_s10.wav,1,150,430,280,470,0.143330029,1,210,180,0.02931049,369.5154163,0.516230377,1,520,90,0.113312442,68.06673132
holoSyst&S3_s11.wav,1,180,460,280,470,0.146970625,1,240,180,0.028674553,370.0786258,0.488696625,1,550,80,0.117912872,77.84987925
holoSyst&S3_s12.wav,1,200,490,290,460,0.133853844,1,260,180,0.02728273,358.7675063,0.451402113,1,570,90,0.111727759,71.41275327
holoSyst&S3_s13.wav,1,160,450,290,460,0.122395002,1,220,190,0.028574556,364.9028275,0.49414552,1,530,80,0.115591697,80.96811978
holoSyst&S3_s14.wav,1,160,460,300,450,0.124622682,1,220,20,0.027623796,413.8496323,0.524595065,1,550,80,0.121377131,63.30356474
holoSyst&S3_s15.wav,1,150,450,300,450,0.131674395,1,210,200,0.030611047,351.7046792,0.52148715,1,540,70,0.129076164,82.05136497
holoSyst&S3_s16.wav,1,150,450,300,450,0.136408163,1,210,200,0.029582837,368.2219987,0.481425629,1,540,80,0.12150614,70.52888055
holoSyst&S3_s17.wav,1,170,470,300,470,0.126091923,1,230,200,0.03048084,362.7637127,0.436065826,1,560,80,0.120420204,78.0536424
holoSyst&S3_s18.wav,1,240,540,300,450,0.129777647,1,300,190,0.027523249,367.212572,0.490846089,1,620,80,0.119435518,72.78944157
holoSyst&S3_s19.wav,1,150,450,300,450,0.143346787,1,210,200,0.026643532,343.6979092,0.495256373,1,530,90,0.112505352,69.79875214
holoSyst&S3_s20.wav,1,160,460,300,450,0.148783467,1,220,200,0.027041764,364.7885419,0.456254902,1,540,80,0.11675186,77.24290241
holoSyst&S3_s21.wav,1,150,450,300,450,0.142859757,1,210,200,0.029649006,346.868023,0.408064336,1,530,90,0.111782688,70.33496344
holoSyst&S3_s22.wav,1,150,430,280,470,0.138608141,1,210,190,0.026821215,364.9314114,0.452307145,1,520,80,0.115426183,81.59426783
holoSyst&S3_s23.wav,1,150,430,280,470,0.14906281,1,200,200,0.026547186,367.5241059,0.462610645,1,530,80,0.122734308,68.91142286
holoSyst&S3_s24.wav,1,180,470,290,460,0.150991574,1,240,190,0.027532994,360.909569,0.416019794,1,560,80,0.116460265,73.29174432
holoSyst&S3_s25.wav,1,140,430,290,460,0.140192003,1,190,170,0.030762143,362.1663839,0.4687535,1,520,80,0.119756302,70.8942836
holoSyst&S3_s26.wav,1,180,460,280,470,0.125887003,1,240,180,0.029452642,368.3348753,0.527347104,1,550,90,0.110713366,68.00207894
holoSyst&S3_s27.wav,1,130,410,280,470,0.130518922,1,190,180,0.03266159,359.1340446,0.516604707,1,500,80,0.117034353,75.2251298
holoSyst&S3_s28.wav,1,180,470,290,460,0.124723994,1,240,180,0.027986382,361.3079579,0.438189821,1,550,90,0.112472954,68.89027779
holoSyst&S3_s29.wav,1,120,420,300,450,0.126593505,1,180,190,0.026901365,368.5264945,0.50066399,1,500,80,0.11625588,80.18848703
syst&diast_s02.wav,3,270,430,160,560,0.433158986,1,330,40,0.079506702,181.6421538,0.119239314,0,0,0,0,0
syst&diast_s03.wav,3,250,430,180,540,0.431288478,1,300,70,0.064236069,178.6367597,0.11583129,1,530,20,0.012617484,406.800586
syst&diast_s04.wav,3,240,370,130,590,0.451768137,1,290,20,0.081796069,171.2732821,0.172284454,1,430,20,0.03205543,126.9119261
